-0.096,  9.762, -0.178,  0.000,  1.343,  0.061,  0.017,  0.002,  0.000
-0.100,  9.783, -0.097, -0.061,  1.282,  0.061,  0.019,  0.002,  0.000
-0.131,  9.803, -0.214, -0.061,  1.465,  0.183,  0.021,  0.002,  0.000
-0.103,  9.803, -0.124, -0.061,  1.526,  0.000,  0.023,  0.003,  0.000
-0.096,  9.774, -0.109, -0.244,  1.648,  0.000,  0.025,  0.003,  0.000
-0.086,  9.793, -0.097, -0.061,  1.831,  0.000,  0.026,  0.003,  0.000
-0.108,  9.793, -0.090, -0.183,  1.831, -0.122,  0.028,  0.004,  0.000
-0.053,  9.807, -0.057, -0.061,  2.014,  0.000,  0.030,  0.004,  0.000
-0.093,  9.810, -0.033, -0.183,  2.136,  0.061,  0.032,  0.005,  0.000
-0.088,  9.807, -0.112, -0.122,  2.197,  0.061,  0.034,  0.005,  0.000
-0.120,  9.786, -0.100, -0.122,  2.258,  0.000,  0.036,  0.005,  0.000
-0.098,  9.798, -0.088, -0.183,  2.441,  0.000,  0.038,  0.006,  0.000
-0.112,  9.800, -0.067, -0.305,  2.625,  0.061,  0.039,  0.006,  0.000
-0.108,  9.800, -0.162, -0.183,  2.747,  0.000,  0.041,  0.007,  0.000
-0.098,  9.800, -0.152, -0.244,  2.808,  0.061,  0.043,  0.007,  0.001
-0.122,  9.827, -0.119, -0.244,  2.930,  0.000,  0.045,  0.008,  0.001
-0.131,  9.759, -0.088, -0.122,  3.052,  0.061,  0.047,  0.009,  0.001
-0.141,  9.757, -0.124, -0.122,  3.174,  0.000,  0.049,  0.009,  0.001
-0.103,  9.783, -0.055, -0.244,  3.296,  0.305,  0.051,  0.010,  0.001
-0.065,  9.819, -0.185, -0.061,  3.357,  0.183,  0.052,  0.010,  0.001
-0.141,  9.793, -0.159, -0.183,  3.418,  0.000,  0.054,  0.011,  0.001
-0.074,  9.752, -0.178, -0.244,  3.540,  0.061,  0.056,  0.012,  0.001
-0.103,  9.786, -0.138, -0.122,  3.723,  0.183,  0.058,  0.012,  0.001
-0.098,  9.786, -0.131, -0.122,  3.662,  0.122,  0.060,  0.013,  0.001
-0.108,  9.769, -0.038, -0.244,  3.967,  0.183,  0.062,  0.014,  0.001
-0.117,  9.774, -0.152, -0.244,  3.967,  0.122,  0.064,  0.014,  0.001
-0.081,  9.786, -0.095, -0.122,  4.028,  0.244,  0.065,  0.015,  0.002
-0.163,  9.786, -0.131, -0.183,  4.089,  0.122,  0.067,  0.016,  0.002
-0.110,  9.798, -0.090, -0.122,  4.272,  0.183,  0.069,  0.017,  0.002
-0.103,  9.819, -0.119, -0.183,  4.211,  0.183,  0.071,  0.018,  0.002
-0.076,  9.829, -0.147, -0.061,  4.395,  0.183,  0.073,  0.018,  0.002
-0.069,  9.838, -0.143,  0.000,  4.456,  0.122,  0.075,  0.019,  0.002
-0.108,  9.776, -0.138, -0.122,  4.639,  0.061,  0.077,  0.020,  0.002
-0.084,  9.791, -0.173, -0.061,  4.639,  0.244,  0.079,  0.021,  0.002
-0.112,  9.771, -0.143, -0.061,  4.700,  0.122,  0.080,  0.022,  0.003
-0.103,  9.788, -0.088,  0.000,  5.066,  0.244,  0.082,  0.023,  0.003
-0.127,  9.779, -0.105,  0.000,  5.005,  0.183,  0.084,  0.023,  0.003
-0.108,  9.793, -0.116,  0.000,  4.944,  0.122,  0.086,  0.024,  0.003
-0.103,  9.817, -0.226,  0.000,  5.249,  0.244,  0.088,  0.025,  0.003
